date,t,y
2024-06-01,0,-3.6793096868658357
2024-06-01,1,-1.4985986836115497
2024-06-02,2,-4.081921235442921
2024-06-02,3,-3.9888071407159664
2024-06-03,4,-2.6416403724797157
2024-06-04,5,-1.9552837193117008
2024-06-04,6,-1.924888756387654
2024-06-05,7,-2.236039037405909
2024-06-05,8,-2.1128373891360384
2024-06-06,9,-1.2782969409472043
2024-06-07,10,-2.349450441523374
2024-06-07,11,-2.1147142278161253
2024-06-08,12,-1.638750729524488
2024-06-08,13,-1.0913897267681882
2024-06-09,14,-2.130986520795066
2024-06-10,15,-1.3311623676351463
2024-06-10,16,-1.5842472224521775
2024-06-11,17,-1.380576066913941
2024-06-11,18,-0.7255814259624987
2024-06-12,19,-1.9669751962338218
2024-06-13,20,0.22451529954972693
2024-06-13,21,-0.5358147020173508
2024-06-14,22,-2.711057132652117
2024-06-15,23,0.5875158265627254
2024-06-15,24,0.338946296792287
2024-06-16,25,-0.7491192035803812
2024-06-16,26,1.5611988548266074
2024-06-17,27,0.7147391168616177
2024-06-18,28,-0.034378214697939335
2024-06-18,29,1.361675370138654
2024-06-19,30,0.5782521675530005
2024-06-19,31,1.3575346867781655
2024-06-20,32,1.1490737780657347
2024-06-21,33,0.8635238508405285
2024-06-21,34,0.3354055308550652
2024-06-22,35,1.7036586050675124
2024-06-22,36,1.04456809476562
2024-06-23,37,1.7337414960343642
2024-06-24,38,2.8586185244053945
2024-06-24,39,1.84474478641569
2024-06-25,40,2.7947151580692653
2024-06-25,41,2.9612817578425648
2024-06-26,42,1.5649395616642172
2024-06-27,43,3.110811810789314
2024-06-27,44,2.2565414364144445
2024-06-28,45,2.953620654764429
2024-06-29,46,3.4406688341111336
2024-06-29,47,3.584756126604626
2024-06-30,48,3.003668668520237
2024-06-30,49,2.438331557675776
2024-07-01,50,2.781054702913734
2024-07-02,51,2.6962817123152667
2024-07-02,52,4.049770788058212
2024-07-03,53,3.732718757629342
2024-07-03,54,4.210370815290283
2024-07-04,55,3.435696731958209
2024-07-05,56,3.5204014898217686
2024-07-05,57,5.181580081081597
2024-07-06,58,3.848550400948895
2024-07-06,59,4.358437485759559
2024-07-07,60,4.192912629926275
2024-07-08,61,7.88689751572299
2024-07-08,62,5.55027380381145
2024-07-09,63,4.745991587917871
2024-07-09,64,5.279365150062554
2024-07-10,65,4.703222940418032
2024-07-11,66,5.080610048807273
2024-07-11,67,4.628824289757518
2024-07-12,68,5.818331610463099
2024-07-13,69,5.561110559437312
2024-07-13,70,4.287103867981659
2024-07-14,71,5.995753554149482
2024-07-14,72,5.159572078015369
2024-07-15,73,5.371176573386235
2024-07-16,74,6.691738768332371
2024-07-16,75,6.617210415463925
2024-07-17,76,6.564951079394122
2024-07-17,77,6.436097974618193
2024-07-18,78,6.272609369201082
2024-07-19,79,7.360897148991104
2024-07-19,80,7.145074851167611
2024-07-20,81,4.519218660988743
2024-07-20,82,7.0353390018484125
2024-07-21,83,7.816147133515577
2024-07-22,84,7.44846335924067
2024-07-22,85,7.63923840628205
2024-07-23,86,7.978585713042008
2024-07-24,87,6.928735399868582
2024-07-24,88,7.890120501839133
2024-07-25,89,7.348378298758682
2024-07-25,90,8.376311123913759
2024-07-26,91,9.066620422455205
2024-07-27,92,9.423840946332845
2024-07-27,93,8.797764194023904
2024-07-28,94,6.8549994227945215
2024-07-28,95,7.0553368536459224
2024-07-29,96,9.226905799728062
2024-07-30,97,9.057666084067547
2024-07-30,98,7.768180862524563
2024-07-31,99,7.718212247092285
2024-07-31,100,5.866540037753998
2024-08-01,101,6.14662589402009
2024-08-02,102,6.298815882584717
2024-08-02,103,6.09587509452308
2024-08-03,104,6.371869122740457
2024-08-03,105,6.842255647479511
2024-08-04,106,6.446039368573307
2024-08-05,107,8.6131553351044
2024-08-05,108,6.056239602204024
2024-08-06,109,5.830592966332154
2024-08-07,110,6.431641526151654
2024-08-07,111,6.731184257792386
2024-08-08,112,5.089813511353788
2024-08-08,113,5.98881917640011
2024-08-09,114,5.187799099196063
2024-08-10,115,3.279985638768462
2024-08-10,116,6.119185894292655
2024-08-11,117,5.244772033561943
2024-08-11,118,4.8392086707701765
2024-08-12,119,4.42245983302022
2024-08-13,120,4.845268311783979
2024-08-13,121,5.386418482977028
2024-08-14,122,0.9492978570079065
2024-08-14,123,3.8206531034155033
2024-08-15,124,5.372087692302054
2024-08-16,125,2.0794361895813425
2024-08-16,126,4.406209485814976
2024-08-17,127,4.262155332827629
2024-08-17,128,4.006865441006569
2024-08-18,129,3.9858758217339005
2024-08-19,130,4.412424662458961
2024-08-19,131,0.9631018799346207
2024-08-20,132,4.167811815581839
2024-08-21,133,3.1392997771698785
2024-08-21,134,2.3971300668985434
2024-08-22,135,3.1496258732922855
2024-08-22,136,3.003219956307342
2024-08-23,137,2.128697163399362
2024-08-24,138,1.5249509053897081
2024-08-24,139,2.4573297201554896
2024-08-25,140,2.091973834542563
2024-08-25,141,0.04876170109632483
2024-08-26,142,1.567179780715639
2024-08-27,143,3.017220401970624
2024-08-27,144,0.8799578360580412
2024-08-28,145,1.926615318253321
2024-08-28,146,1.351910121674875
2024-08-29,147,-7.021557112044074
2024-08-30,148,0.8225259047827669
2024-08-30,149,-3.7217379105777972
2024-08-31,150,-2.8790120682698666
2024-09-01,151,0.518748608598716
2024-09-01,152,0.686643533886883
2024-09-02,153,1.1054046030583116
2024-09-02,154,-1.1836782862936932
2024-09-03,155,-0.4589257420813712
2024-09-04,156,-0.6440283712150059
2024-09-04,157,0.24215138637034872
2024-09-05,158,-0.8856653337087304
2024-09-05,159,-0.6497919783073527
2024-09-06,160,-0.1589247782357392
2024-09-07,161,-1.8058302447685846
2024-09-07,162,-0.16872952095112004
2024-09-08,163,0.050008102299719415
2024-09-08,164,-1.9807126959835069
2024-09-09,165,0.10951990721985805
2024-09-10,166,-2.0156176848467546
2024-09-10,167,-1.8062386033557487
2024-09-11,168,-1.5941433153339966
2024-09-11,169,-2.8849119339724254
2024-09-12,170,-1.7234616127069056
2024-09-13,171,-2.06111714542612
2024-09-13,172,-2.7934518610580543
2024-09-14,173,-2.592834511501228
2024-09-15,174,-2.3764561452099002
2024-09-15,175,-3.215331302546165
2024-09-16,176,-2.1596095448258446
2024-09-16,177,-2.521976030743722
2024-09-17,178,-3.1054699178604155
2024-09-18,179,-3.410785561625144
2024-09-18,180,-2.7318052530817343
2024-09-19,181,-3.6561306366918243
2024-09-19,182,-4.288982756536799
2024-09-20,183,-5.836047062511534
2024-09-21,184,-3.8477504848146324
2024-09-21,185,-3.739670097081742
2024-09-22,186,-2.198751970105533
2024-09-22,187,-4.74918728727175
2024-09-23,188,-4.617619499709075
2024-09-24,189,-5.321553907642122
2024-09-24,190,-3.867439952165754
